IPORIGEN,IPDESTINO,DNS/FLAGS
192.168.100.65,69.163.33.82,0x00c2,IP MALISIOSA
192.168.100.65,69.163.33.82,0x00c2,IP MALISIOSA
192.168.100.65,69.163.33.82,0x0002,IP MALISIOSA
192.168.100.65,87.106.139.101,0x00c2,IP MALISIOSA
192.168.100.65,87.106.139.101,0x0010,IP MALISIOSA
192.168.100.65,87.106.139.101,0x0018,IP MALISIOSA
192.168.100.65,mixunderax.com,DNS MALISIOSO
192.168.100.65,87.106.139.101,0x0010,IP MALISIOSA
192.26.92.30,mixunderax.com,DNS MALISIOSO
192.168.100.65,mixunderax.com,DNS MALISIOSO
97.74.99.64,mixunderax.com,DNS MALISIOSO
192.168.100.65,alforcargo.com,DNS MALISIOSO
192.26.92.30,alforcargo.com,DNS MALISIOSO
192.168.100.65,181.113.229.139,0x00c2,IP MALISIOSA
192.168.100.65,87.106.139.101,0x0010,IP MALISIOSA
192.168.100.65,181.113.229.139,0x00c2,IP MALISIOSA
192.168.100.65,181.113.229.139,0x0002,IP MALISIOSA
192.168.100.65,159.65.241.220,0x00c2,IP MALISIOSA
192.168.100.65,159.65.241.220,0x0010,IP MALISIOSA
192.168.100.65,159.65.241.220,0x0018,IP MALISIOSA
192.168.100.65,159.65.241.220,0x0010,IP MALISIOSA
192.168.100.65,159.65.241.220,0x0010,IP MALISIOSA
192.168.100.65,87.106.139.101,0x0011,IP MALISIOSA
192.168.100.65,159.65.241.220,0x0011,IP MALISIOSA
