IP-ORIGEN,PORT,IP-DESTINO,PORT
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.67,53562,192.168.100.65,3389
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
192.168.100.65,3389,192.168.100.67,53562
