IP Origen,IP Destino/Dominio,Protocolo,Flags
192.168.100.65,69.163.33.82,TCP,0x00c2
192.168.100.65,69.163.33.82,TCP,0x00c2
192.168.100.65,69.163.33.82,TCP,0x0002
192.168.100.65,87.106.139.101,TCP,0x00c2
192.168.100.65,87.106.139.101,TCP,0x0010
192.168.100.65,87.106.139.101,TCP,0x0018
192.168.100.65,mixunderax.com,DNS
192.168.100.65,87.106.139.101,TCP,0x0010
192.26.92.30,mixunderax.com,DNS
192.168.100.65,mixunderax.com,DNS
97.74.99.64,mixunderax.com,DNS
192.168.100.65,alforcargo.com,DNS
192.26.92.30,alforcargo.com,DNS
192.168.100.65,181.113.229.139,TCP,0x00c2
192.168.100.65,87.106.139.101,TCP,0x0010
192.168.100.65,181.113.229.139,TCP,0x00c2
192.168.100.65,181.113.229.139,TCP,0x0002
192.168.100.65,159.65.241.220,TCP,0x00c2
192.168.100.65,159.65.241.220,TCP,0x0010
192.168.100.65,159.65.241.220,TCP,0x0018
192.168.100.65,159.65.241.220,TCP,0x0010
192.168.100.65,159.65.241.220,TCP,0x0010
192.168.100.65,87.106.139.101,TCP,0x0011
192.168.100.65,159.65.241.220,TCP,0x0011
